"Gene","Time","Space","logFC","Cluster_DTW","Silhouette_DTW","Cluster_cosine","Silhouette_cosine","GeneName"
"N900_RS00015","1h","st",2.4081,8,0.144126350159064,1,0.285950343558207,"mnmE"
"N900_RS00025","1h","st",-0.17281,20,-0.0213918913045571,2,-0.0367116337102092,"yidD"
"N900_RS00040","1h","st",-0.4205,5,0.0998912766666841,3,-0.0147015057862024,"yxeO"
"N900_RS00045","1h","st",0.58037,7,0.0511738210912454,4,0.0856776364057105,"patM"
"N900_RS00050","1h","st",-0.43105,4,-0.0637164375204412,5,-0.0368530033773262,"patH"
"N900_RS00065","1h","st",-0.090996,9,0.0219417320567409,6,-0.23890424313824,"recF"
"N900_RS00075","1h","st",2.4518,14,0.073115058887411,7,0.0280955311013263,"N900_RS00075"
"N900_RS00085","1h","st",-0.70254,5,-0.0369453426275367,8,-0.0207418182957836,"ibpA"
"N900_RS00090","1h","st",0.03003,5,-0.113042657778173,9,-0.0605857474550238,"avtA"
"N900_RS00105","1h","st",2.2163,14,0.0338169692878167,10,0.0717859258149737,"mneA"
"N900_RS00110","1h","st",-0.91276,5,0.0307193448706965,11,0.0534359713933368,"NADH dehydrogenase subunit II-related protein"
"N900_RS00120","1h","st",-0.7706,18,0.0825234201866985,8,-0.0228484932189599,"N900_RS00120"
"N900_RS00125","1h","st",1.8534,18,-0.0438397163724967,10,-0.0329848818266575,"acuI"
"N900_RS00130","1h","st",2.3801,14,0.0168579392490858,5,-0.0398363057587657,"ilvA"
"N900_RS00135","1h","st",-0.081465,14,0.0227920196232412,5,0.0938848426212964,"ilvD"
"N900_RS00140","1h","st",1.2429,7,0.0440931752539041,5,-0.0515739732230022,"ilvE"
"N900_RS00145","1h","st",6.8711,2,0.0148519104403628,10,0.117359764994692,"ilvM"
"N900_RS00150","1h","st",0.35635,2,0.0172039779706493,7,-0.0601192463003871,"ilvG"
"N900_RS00155","1h","st",-0.29048,15,-0.023096395198893,2,-0.0355902753101159,"yifb"
"N900_RS00160","1h","st",-0.27727,14,0.0241244954287925,2,-0.20872124320058,"yihG"
"N900_RS00165","1h","st",-0.44224,18,-0.0137197026590824,12,-0.104141822583272,"dsba"
"N900_RS00170","1h","st",-0.2317,14,0.040783425064923,10,0.0330713017997385,"serine/threonine protein kinase"
