locus_ID,gene,category,Color,gene_name,product,candidate_role,evidence_from_annotation
N900_RS04840,motV,Flagellar motor accessory,#ff9900,,,,
N900_RS07310,cheY2,Cluster I,#ADD8E6,,VC_1398,,
N900_RS07315,CheA1,Cluster I,#ADD8E6,,VC_1397,,
,VC_1396,Cluster I,#ADD8E6,N900_RS07320,VC_1396,,
N900_RS07330,mlp13,Cluster I,#ADD8E6,,VC_1394,,
N900_RS07305,cheR1,Cluster I,#ADD8E6,,VC_1399,,
N900_RS07325,cheY1,Cluster I,#ADD8E6,,VC_1395,,
N900_RS07295,cheB1,Cluster I,#ADD8E6,,VC_1401,,
N900_RS07290,cheW,Cluster I,#ADD8E6,,VC_1402,,
N900_RS07285,mlp14,Cluster I,#ADD8E6,,VC_1403,,
,mlp15,Cluster I,#ADD8E6,,VC_1404,,
N900_RS07280,mlp16,Cluster I,#ADD8E6,,VC_1405,,
,,,,,,,
N900_RS04120,cheW1,Cluster II,#90EE90,,VC_2059,,
N900_RS04115,parC,Cluster II Polar localization,#C1E2BE,,VC_2060,,
N900_RS04110,parP,Cluster II Polar localization,#C1E2BE,,VC_2061,,
N900_RS18865,cheB2,Cluster II,#90EE90,,VC_2062,,
N900_RS04100,cheA2,Cluster II,#90EE90,,VC_2063,,
N900_RS04095,cheZ,Cluster II,#90EE90,,VC_2064,,
N900_RS04090,cheY3,Cluster II,#90EE90,,VC_2065,,
N900_RS03450,cheR,Cluster II,#90EE90,,VC_2201,,
,,,,,,,
N900_RS18860,mlp44,Cluster III,#FFCCCB,,VC_A1088,,
N900_RS18865,cheB3,Cluster III,#FFCCCB,,VC_A1089,,
N900_RS18870,cheD,Cluster III,#FFCCCB,,VC_A1090,,
N900_RS18875,cheR3,Cluster III,#FFCCCB,,VC_A1091,,
N900_RS18880,mlp5,Cluster III,#FFCCCB,,VC_A1092,,
N900_RS18885,cheW2,Cluster III,#FFCCCB,,VC_A1093,,
N900_RS18890,cheW3,Cluster III,#FFCCCB,,VC_A1094,,
N900_RS18900,cheA3,Cluster III,#FFCCCB,,VC_A1095,,
N900_RS18905,cheY4,Cluster III,#FFCCCB,,VC_A1096,,
