locus_ID,gene,category,Color,gene_name,product,candidate_role,evidence_from_annotation
N900_RS03515,flaA,Flagellar filament,#FFD700,,,,
N900_RS03520,flaC,Flagellar filament,#FFD700,,,,
N900_RS03730,flaB,Flagellar filament,#FFD700,,,,
N900_RS03725,flaD,Flagellar filament,#FFD700,,,,
N900_RS03720,flaE,Flagellar filament,#FFD700,,,,
N900_RS03740,fliD,Flagellar filament,#FFD700,,,,
N900_RS03745,flaI,Flagellar filament,#FFD700,,,,
N900_RS03750,fliS,Flagellar filament,#FFD700,,,,
N900_RS03465,flgD,Flagellar hook,#FFA500,,,,
N900_RS03470,flgE,Flagellar hook,#FFA500,,,,
N900_RS03500,flgK,Flagellar hook,#FFA500,,,,
N900_RS03505,flgL,Flagellar hook,#FFA500,,,,
N900_RS03800,FliK,Flagellar hook,#FFA500,,,,
N900_RS03440,flgA,Flagellar basal body,#FF8C00,,,,
N900_RS03455,flgB,Flagellar basal body,#FF8C00,,,,
N900_RS03460,flgC,Flagellar basal body,#FF8C00,,,,
N900_RS03475,flgF,Flagellar basal body,#FF8C00,,,,
N900_RS03480,flgG,Flagellar basal body,#FF8C00,,,,
N900_RS03485,flgH,Flagellar basal body,#FF8C00,,,,
N900_RS03490,flgi,Flagellar basal body,#FF8C00,,,,
N900_RS03495,flgJ,Flagellar basal body,#FF8C00,,,,
N900_RS03415,flgT,Flagellar basal body,#FF8C00,,,,
N900_RS03420,flgO,Flagellar basal body,#FF8C00,,,,
N900_RS03425,flgP,Flagellar basal body,#FF8C00,,,,
N900_RS03430,flgN,Flagellar basal body,#FF8C00,,,,
N900_RS03435,flgM,Flagellar basal body,#FF8C00,,,,
N900_RS03770,fliE,Flagellar basal body,#FF8C00,,,,
N900_RS03775,fliF,Flagellar basal body,#FF8C00,,,,
N900_RS03805,fliL_1,Flagellar basal body,#FF8C00,,,,
N900_RS00505,fliL_2,Flagellar basal body,#FF8C00,,,,
N900_RS03780,fliG,Flagellar switch complex,#FF4500,,,,
N900_RS03810,fliM,Flagellar switch complex,#FF4500,,,,
N900_RS03815,fliN,Flagellar switch complex,#FF4500,,,,
N900_RS04070,flhA,Flagellar export apparatus,#9370DB,,,,
N900_RS03840,flhB,Flagellar export apparatus,#9370DB,,,,
N900_RS03785,fliH,Flagellar export apparatus,#9370DB,,,,
N900_RS03790,fliI,Flagellar export apparatus,#9370DB,,,,
N900_RS03795,fliJ,Flagellar export apparatus,#9370DB,,,,
N900_RS03820,fliO,Flagellar export apparatus,#9370DB,,,,
N900_RS03825,fliP,Flagellar export apparatus,#9370DB,,,,
N900_RS03830,fliQ,Flagellar export apparatus,#9370DB,,,,
N900_RS03835,fliR,Flagellar export apparatus,#9370DB,,,,
N900_RS04075,flhF,Flagellar export apparatus,#9370DB,,,,
N900_RS06570,mota,Flagellar motor,#DC143C,,,,
N900_RS09740,motb,Flagellar motor,#DC143C,,,,
N900_RS09745,pomA,Flagellar motor,#DC143C,,,,
N900_RS09185,motY,Flagellar motor,#DC143C,,,,
N900_RS01515,motX_BLAST,Flagellar motor,#DC143C,,,,
N900_RS05530,MotB,Flagellar motor,#DC143C,,,,
