locus_ID,gene,category,Color,gene_name,product,candidate_role,evidence_from_annotation
N900_RS04360,ptsG,Glucose,#DC143C,,,,
N900_RS13335,manA,Mannose,#FFD700,,,,
N900_RS05225,manA_2,Mannose,#FFD701,,,,
N900_RS13450,manB,Mannose,#FFD700,,,,
N900_RS13455,manC,Mannose,#FFD700,,,,
N900_RS16195,fruA,Fructose,#FFA500,,,,
N900_RS16200,fruK,Fructose,#FFA500,,,,
N900_RS16205,fruB,Fructose,#FFA500,,,,
N900_RS03370,chb,Cellobiose,#FF8C00,,,,
N900_RS07850,chbA,Cellobiose,#FF8C00,,,,
N900_RS09650,treC,Trehalose,#9370DB,,,,
N900_RS09655,treB,Trehalose,#9370DB,,,,
N900_RS18670,mtlA,Mannitol,#ADD8E6,,,,
N900_RS18675,mtlD,Mannitol,#ADD8E6,,,,
N900_RS18680,mtlR,Mannitol,#ADD8E6,,,,
N900_RS15155,ulaF,Ascorbate,#6B8E23,,,,
N900_RS15160,ulaC,Ascorbate,#6B8E23,,,,
N900_RS15165,ulaB,Ascorbate,#6B8E23,,,,
N900_RS15170,ulaR,Ascorbate,#6B8E23,,,,
N900_RS15175,ulaG,Ascorbate,#6B8E23,,,,
N900_RS15140,ulaE,Ascorbate,#6B8E23,,,,
N900_RS16845,scrB,Sucrose,Orange,,,,
N900_RS02820,lacZ,Lactose,#008080,,,,
,,,,,,,
N900_RS18200,malG,Maltose,violet,,,,
N900_RS18205,malF,Maltose,violet,,,,
N900_RS18210,malE,Maltose,violet,,,,
N900_RS18215,malK,Maltose,violet,,,,
N900_RS06345,galT,Galactose,#FFC0CB,,,,
N900_RS06350,galK,Galactose,#FFC0CB,,,,
N900_RS06355,galM,Galactose,#FFC0CB,,,,
N900_RS14615,rbsD,Ribose,#90EE90,,,,
N900_RS14620,rbsA,Ribose,#90EE90,,,,
N900_RS14625,rbsC,Ribose,#90EE90,,,,
N900_RS14630,rbsB,Ribose,#90EE90,,,,
N900_RS14635,rbsK,Ribose,#90EE90,,,,
N900_RS13230,gntR,Gluconate,#D3D3D3,,,,
N900_RS13240,gntK,Gluconate,#D3D3D3,,,,
N900_RS05465,nanA,Sialic acid,Green,,,,
N900_RS05475,nanM_1,Sialic acid,Green,,,,
N900_RS05480,nanM_2,Sialic acid,Green,,,,
