locus_ID,gene,category,Color,gene_name,product,candidate_role,evidence_from_annotation
N900_RS10070,tpx,Colonization factor,#9370DB,,,,
N900_RS10065,tcpI,Inhibitor,Green,,,,
N900_RS10060,tcpP,Regulation,#008080,,,,
N900_RS10055,tcpH,Regulation,#008080,,,,
N900_RS10050,tcpA,Pilus structural pilin,#FFCCCB,,,,
N900_RS10045,tcpB,Pilus assembly,Orange,,,,
N900_RS10040,tcpQ,Pilus assembly,Orange,,,,
N900_RS10035,tcpC,Pilus assembly,Orange,,,,
N900_RS19270,tcpR,Regulation,#008080,,,,
N900_RS10025,tcpD,Pilus assembly,Orange,,,,
N900_RS10020,tcpS,Pilus assembly,Orange,,,,
N900_RS10015,tcpT,Pilus assembly,Orange,,,,
N900_RS10010,tcpE,Pilus assembly,Orange,,,,
N900_RS10005,tcpF,Pilus assembly,Orange,,,,
N900_RS10000,toxT,Regulation,#008080,,,,
N900_RS09995,tcpJ,Pilus assembly,Orange,,,,
N900_RS09990,acfB,Colonization factor,#9370DB,,,,
N900_RS09985,acfC,Colonization factor,#9370DB,,,,
N900_RS09970,acfA,Colonization factor,#9370DB,,,,
N900_RS09965,acfD,Colonization factor,#9370DB,,,,
