locus_ID,gene,category,Color
N900_RS04315,fabD,FASII-core,red
N900_RS06880,fabA,FASII-core,red
N900_RS03225,fabZ,FASII-core,red
N900_RS04330,fabF,FASII-core,red
N900_RS03890,fabB,FASII-core,red
N900_RS04325,acpP,FASII-core,red
,,,
N900_RS17290,fabH2,FASII-accecory,orange
N900_RS05640,fabV_1,FASII-accecory,orange
N900_RS06370,fabG_3,FASII-accecory,orange
N900_RS17015,fabG_2,FASII-accecory,orange
N900_RS17320,,FASII-accecory,orange
N900_RS18955,fabG_4,FASII-accecory,orange
N900_RS19525,,FASII-accecory,orange
N900_RS00750,fabR,FASII-accecory,orange
N900_RS05640,fabV_1,FASII-accecory,orange
N900_RS06370,fabG_3,FASII-accecory,orange
N900_RS04180,fabG_1,FASII-accecory,orange
N900_RS04310,fabH1,FASII-accecory,orange
,,,
N900_RS09010,fadL,FA-uptake,green
N900_RS04490,fadD,FA-uptake,green
N900_RS03310,fadE_1,FA-uptake,green
N900_RS05635,fadE_2,FA-uptake,green
N900_RS13940,fadB,FA-uptake,green
N900_RS13945,fadA,FA-uptake,green
,,,
N900_RS04880,fadR,regulator,yellow
