"id","degree"
"N900_RS00015",50
"N900_RS00025",55
"N900_RS00040",81
"N900_RS00045",65
"N900_RS00050",38
"N900_RS00065",59
"N900_RS00075",53
"N900_RS00085",81
"N900_RS00090",74
"N900_RS00105",43
"N900_RS00110",70
"N900_RS00120",65
"N900_RS00125",51
"N900_RS00130",53
"N900_RS00135",48
"N900_RS00140",60
"N900_RS00145",60
"N900_RS00150",54
"N900_RS00155",59
"N900_RS00160",56
"N900_RS00165",40
"N900_RS00170",54
"N900_RS00175",58
"N900_RS00180",63
"N900_RS00185",51
"N900_RS00190",50
"N900_RS00195",66
"N900_RS00200",49
"N900_RS00205",44
"N900_RS00215",57
"N900_RS00225",68
"N900_RS00230",48
"N900_RS00235",43
"N900_RS00240",94
"N900_RS00245",47
"N900_RS00250",49
"N900_RS00255",39
"N900_RS00260",45
"N900_RS00265",78
"N900_RS00270",50
"N900_RS00275",46
"N900_RS00280",45
"N900_RS00320",38
"N900_RS00325",54
"N900_RS00330",70
"N900_RS00335",68
"N900_RS00340",42
"N900_RS00345",58
"N900_RS00350",50
"N900_RS00355",67
"N900_RS00360",56
"N900_RS00365",63
"N900_RS00370",63
"N900_RS00375",67
"N900_RS00380",54
"N900_RS00385",55
"N900_RS00390",70
"N900_RS00395",55
"N900_RS00400",60
"N900_RS00410",67
"N900_RS00415",45
"N900_RS00420",76
"N900_RS00425",44
"N900_RS00430",62
"N900_RS00440",67
"N900_RS00450",61
"N900_RS00455",50
"N900_RS00460",52
"N900_RS00465",48
"N900_RS00470",64
"N900_RS00475",67
"N900_RS00480",66
"N900_RS00485",63
"N900_RS00490",77
"N900_RS00495",48
"N900_RS00505",74
"N900_RS00510",57
"N900_RS00515",38
"N900_RS00520",64
"N900_RS00525",57
"N900_RS00530",66
"N900_RS00540",49
"N900_RS00555",56
"N900_RS00560",47
"N900_RS00565",61
"N900_RS00570",84
"N900_RS00575",61
"N900_RS00580",88
"N900_RS00585",78
"N900_RS00600",54
"N900_RS00605",60
"N900_RS00610",55
"N900_RS00615",67
"N900_RS00620",78
"N900_RS00630",50
"N900_RS00635",47
"N900_RS00640",59
"N900_RS00645",49
"N900_RS00650",72
"N900_RS00655",53
"N900_RS00660",48
"N900_RS00665",64
"N900_RS00670",73
"N900_RS00675",46
"N900_RS00680",45
"N900_RS00685",40
"N900_RS00690",69
"N900_RS00695",73
"N900_RS00705",76
"N900_RS00710",51
"N900_RS00715",61
"N900_RS00720",62
"N900_RS00730",96
"N900_RS00735",52
"N900_RS00745",48
"N900_RS00750",43
"N900_RS00755",78
"N900_RS00760",41
"N900_RS00765",50
"N900_RS00770",47
"N900_RS00780",51
"N900_RS00810",54
"N900_RS00815",51
"N900_RS00820",70
"N900_RS00825",45
"N900_RS00830",59
"N900_RS00835",35
"N900_RS00840",74
"N900_RS00845",52
"N900_RS00850",52
"N900_RS00855",51
"N900_RS00860",49
"N900_RS00865",41
"N900_RS00870",52
"N900_RS00875",64
"N900_RS00880",50
"N900_RS00885",81
"N900_RS00890",43
"N900_RS00895",80
"N900_RS00900",80
"N900_RS00905",82
"N900_RS00910",57
"N900_RS00915",65
"N900_RS00920",79
"N900_RS00925",100
"N900_RS00930",74
"N900_RS00940",41
"N900_RS00945",45
"N900_RS00950",72
"N900_RS00955",55
"N900_RS00960",60
"N900_RS00970",51
"N900_RS00975",48
"N900_RS00980",35
"N900_RS00985",54
"N900_RS00990",47
"N900_RS00995",47
"N900_RS01000",48
"N900_RS01005",45
"N900_RS01015",62
"N900_RS01025",70
"N900_RS01030",41
"N900_RS01035",95
"N900_RS01040",47
"N900_RS01045",58
"N900_RS01050",47
"N900_RS01065",53
"N900_RS01070",58
"N900_RS01075",53
"N900_RS01080",66
"N900_RS01085",65
"N900_RS01090",63
"N900_RS01095",67
"N900_RS01100",80
"N900_RS01105",46
"N900_RS01110",60
"N900_RS01115",109
"N900_RS01120",42
"N900_RS01125",87
"N900_RS01130",54
"N900_RS01135",51
"N900_RS01140",59
"N900_RS01145",64
"N900_RS01150",53
"N900_RS01155",81
"N900_RS01165",48
"N900_RS01175",51
"N900_RS01180",70
"N900_RS01185",45
"N900_RS01190",58
"N900_RS01195",50
"N900_RS01200",69
"N900_RS01205",44
"N900_RS01210",50
"N900_RS01215",46
"N900_RS01220",62
"N900_RS01235",52
"N900_RS01240",36
"N900_RS01245",63
"N900_RS01250",64
"N900_RS01255",65
"N900_RS01260",57
"N900_RS01265",65
"N900_RS01270",42
"N900_RS01275",77
"N900_RS01280",53
"N900_RS01285",74
"N900_RS01290",72
"N900_RS01295",65
"N900_RS01300",49
"N900_RS01305",42
"N900_RS01310",52
"N900_RS01315",50
"N900_RS01320",68
"N900_RS01325",69
"N900_RS01330",46
"N900_RS01335",44
"N900_RS01340",46
"N900_RS01345",49
"N900_RS01355",42
"N900_RS01360",46
"N900_RS01370",75
"N900_RS01375",50
"N900_RS01380",38
"N900_RS01385",56
"N900_RS01390",54
"N900_RS01400",61
"N900_RS01405",55
"N900_RS01415",60
"N900_RS01420",44
"N900_RS01425",79
"N900_RS01430",64
"N900_RS01435",60
"N900_RS01440",50
"N900_RS01445",30
"N900_RS01450",85
"N900_RS01455",43
"N900_RS01460",48
"N900_RS01465",82
"N900_RS01470",57
"N900_RS01475",80
"N900_RS01480",46
"N900_RS01485",46
"N900_RS01490",74
"N900_RS01495",60
"N900_RS01500",64
"N900_RS01505",47
"N900_RS01515",85
"N900_RS01520",55
"N900_RS01525",43
"N900_RS01530",78
"N900_RS01675",60
"N900_RS01680",69
"N900_RS01685",55
"N900_RS01690",74
"N900_RS01695",53
"N900_RS01700",54
"N900_RS01705",72
"N900_RS01710",61
"N900_RS01715",62
"N900_RS01720",75
"N900_RS01725",45
"N900_RS01730",88
"N900_RS01735",72
"N900_RS01740",59
"N900_RS01745",68
"N900_RS01750",61
"N900_RS01755",77
"N900_RS01760",61
"N900_RS01765",58
"N900_RS01770",85
"N900_RS01775",76
"N900_RS01780",51
"N900_RS01785",55
"N900_RS01795",72
"N900_RS01800",69
"N900_RS01805",73
"N900_RS01815",58
"N900_RS01820",60
"N900_RS01825",62
"N900_RS01830",47
"N900_RS01835",62
"N900_RS01840",57
"N900_RS01845",49
"N900_RS01850",83
"N900_RS01855",63
"N900_RS01860",43
"N900_RS01865",58
"N900_RS01885",65
"N900_RS01895",72
"N900_RS01900",83
"N900_RS01905",64
"N900_RS01910",64
"N900_RS01915",59
"N900_RS01920",49
"N900_RS01925",54
"N900_RS01930",72
"N900_RS01945",62
"N900_RS01950",54
"N900_RS01955",60
"N900_RS01965",45
"N900_RS01970",46
"N900_RS01975",49
"N900_RS01980",66
"N900_RS01985",69
"N900_RS01990",62
"N900_RS02000",74
"N900_RS02005",68
"N900_RS02020",55
"N900_RS02030",49
"N900_RS02070",58
"N900_RS02075",60
"N900_RS02080",43
"N900_RS02085",48
"N900_RS02090",37
"N900_RS02095",46
"N900_RS02100",38
"N900_RS02105",52
"N900_RS02110",64
"N900_RS02115",67
"N900_RS02120",48
"N900_RS02125",42
"N900_RS02130",45
"N900_RS02135",84
"N900_RS02140",42
"N900_RS02145",71
"N900_RS02150",76
"N900_RS02175",66
"N900_RS02180",66
"N900_RS02185",51
"N900_RS02190",50
"N900_RS02200",77
"N900_RS02205",76
"N900_RS02215",50
"N900_RS02225",51
"N900_RS02235",57
"N900_RS02250",67
"N900_RS02255",49
"N900_RS02260",44
"N900_RS02265",61
"N900_RS02270",43
"N900_RS02275",42
"N900_RS02280",45
"N900_RS02295",64
"N900_RS02300",46
"N900_RS02305",58
"N900_RS02310",79
"N900_RS02315",61
"N900_RS02320",54
"N900_RS02325",50
"N900_RS02330",50
"N900_RS02335",46
"N900_RS02340",73
"N900_RS02345",52
"N900_RS02350",45
"N900_RS02355",61
"N900_RS02360",49
"N900_RS02365",89
"N900_RS02380",58
"N900_RS02385",66
"N900_RS02395",75
"N900_RS02400",47
"N900_RS02405",70
"N900_RS02410",43
"N900_RS02415",44
"N900_RS02420",82
"N900_RS02425",58
"N900_RS02430",56
"N900_RS02435",47
"N900_RS02440",60
"N900_RS02445",58
"N900_RS02450",79
"N900_RS02455",42
"N900_RS02460",69
"N900_RS02470",86
"N900_RS02555",62
"N900_RS02570",61
"N900_RS02575",59
"N900_RS02580",49
"N900_RS02595",88
"N900_RS02600",74
"N900_RS02605",49
"N900_RS02610",58
"N900_RS02615",71
"N900_RS02620",74
"N900_RS02625",45
"N900_RS02630",32
"N900_RS02635",88
"N900_RS02640",51
"N900_RS02645",48
"N900_RS02650",50
"N900_RS02655",59
"N900_RS02660",52
"N900_RS02665",45
"N900_RS02670",58
"N900_RS02675",53
"N900_RS02680",37
"N900_RS02685",48
"N900_RS02690",44
"N900_RS02695",45
"N900_RS02700",68
"N900_RS02705",80
"N900_RS02715",48
"N900_RS02720",49
"N900_RS02725",61
"N900_RS02730",70
"N900_RS02735",64
"N900_RS02740",53
"N900_RS02745",48
"N900_RS02750",44
"N900_RS02755",52
"N900_RS02760",63
"N900_RS02765",73
"N900_RS02770",77
"N900_RS02775",52
"N900_RS02780",57
"N900_RS02785",52
"N900_RS02790",71
"N900_RS02795",49
"N900_RS02805",57
"N900_RS02810",79
"N900_RS02815",64
"N900_RS02820",52
"N900_RS02825",67
"N900_RS02830",59
"N900_RS02835",46
"N900_RS02840",77
"N900_RS02845",45
"N900_RS02850",86
"N900_RS02855",40
"N900_RS02865",68
"N900_RS02870",66
"N900_RS02875",69
"N900_RS02880",62
"N900_RS02885",64
"N900_RS02890",58
"N900_RS02895",70
"N900_RS02905",38
"N900_RS02910",85
"N900_RS02915",49
"N900_RS02920",71
"N900_RS02925",51
"N900_RS02930",49
"N900_RS02935",36
"N900_RS02940",35
"N900_RS02945",44
"N900_RS02950",52
"N900_RS02955",51
"N900_RS02960",55
"N900_RS02965",55
"N900_RS02970",80
"N900_RS02975",44
"N900_RS02980",47
"N900_RS02985",72
"N900_RS02990",35
"N900_RS02995",40
"N900_RS03000",43
