"Gene","degree","GeneName"
"N900_RS17420",127,"pxpA3"
"N900_RS01115",109,"pfkA"
"N900_RS18935",108,"eptA"
"N900_RS17130",106,"yccS"
"N900_RS11945",104,"cysA"
"N900_RS19705",102,"N900_RS19705"
"N900_RS00925",100,"gspJ"
"N900_RS18105",100,"araC_2"
"N900_RS05510",99,"N900_RS05510"
"N900_RS00730",96,"ftsE"
"N900_RS06190",96,"oprF"
"N900_RS11615",96,"VC_0605_BLAST"
"N900_RS01035",95,"N900_RS01035"
"N900_RS10695",95,"yehT_1"
"N900_RS11070",95,"traC"
"N900_RS12795",95,"bfd"
"N900_RS13645",95,"fhuD"
"N900_RS17565",95,"N900_RS17565"
"N900_RS19410",95,"N900_RS19410"
"N900_RS00240",94,"smg"
"N900_RS13160",94,"rhlB"
"N900_RS14525",94,"tssE"
"N900_RS03325",92,"purN"
"N900_RS03810",92,"fliM"
"N900_RS09560",92,"N900_RS09560"
"N900_RS10635",92,"raiA"
"N900_RS08580",90,"tet(35)"
"N900_RS02365",89,"yqiA"
"N900_RS04125",89,"N900_RS04125"
"N900_RS11305",89,"stba"
"N900_RS12735",89,"chex"
"N900_RS15585",89,"N900_RS15585"
"N900_RS00580",88,"hemy"
"N900_RS01730",88,"cysC"
"N900_RS02595",88,"Ga0059260_01848_BLAST"
"N900_RS02635",88,"N900_RS02635"
"N900_RS04595",88,"N900_RS04595"
"N900_RS05680",88,"glgC_1"
"N900_RS08300",88,"N900_RS08300"
"N900_RS08810",88,"CheC"
"N900_RS09045",88,"apbC"
"N900_RS11110",88,"traE"
"N900_RS13190",88,"polC_2"
"N900_RS15445",88,"N900_RS15445"
"N900_RS20095",88,"N900_RS20095"
"N900_RS01125",87,"zapB"
"N900_RS03305",87,"hldE"
"N900_RS03780",87,"fliG"
"N900_RS04740",87,"dctp"
"N900_RS06685",87,"tupB"
"N900_RS07000",87,"rstc"
"N900_RS09335",87,"ybbJ"
"N900_RS02470",86,"rsmH"
"N900_RS02850",86,"ypeA_2"
"N900_RS03065",86,"deacylase"
"N900_RS05580",86,"pqiA"
"N900_RS06840",86,"gdhB"
"N900_RS06860",86,"N900_RS06860"
"N900_RS07185",86,"potD_2"
"N900_RS10500",86,"oxyR_2"
"N900_RS11430",86,"secG"
"N900_RS01450",85,"N900_RS01450"
"N900_RS01515",85,"motX_BLAST"
"N900_RS01770",85,"msrA"
"N900_RS02910",85,"N900_RS02910"
"N900_RS03445",85,"chev_3"
"N900_RS04890",85,"methyl-accepting chemotaxis protein_3"
"N900_RS05330",85,"N900_RS05330"
"N900_RS06395",85,"katB"
"N900_RS07865",85,"cod"
"N900_RS10405",85,"iscX"
"N900_RS10900",85,"trag"
"N900_RS13570",85,"VC0395_A2597_BLAST"
"N900_RS15655",85,"VC_A0354_BLAST_1"
"N900_RS15720",85,"restriction endonuclease"
"N900_RS16670",85,"glyoxalase_2"
"N900_RS17005",85,"N900_RS17005"
"N900_RS18620",85,"N900_RS18620"
"N900_RS00570",84,"N900_RS00570"
"N900_RS02135",84,"rpiA"
"N900_RS05085",84,"prepilin peptidase_2"
"N900_RS05245",84,"manP_1"
"N900_RS06470",84,"appB"
"N900_RS06660",84,"N900_RS06660"
"N900_RS08235",84,"hutU"
"N900_RS09650",84,"treC"
"N900_RS10170",84,"RNA methyltransferase"
"N900_RS11300",84,"mobI"
"N900_RS13260",84,"TonB-dependent receptor_1"
"N900_RS15670",84,"N900_RS15670"
"N900_RS16660",84,"moeA"
"N900_RS17205",84,"N900_RS17205"
"N900_RS18355",84,"lktB_2"
"N900_RS18370",84,"N900_RS18370"
"N900_RS19875",84,"N900_RS19875"
"N900_RS01850",83,"rapZ"
"N900_RS01900",83,"N900_RS01900"
"N900_RS03145",83,"thiL"
"N900_RS03490",83,"flgi"
"N900_RS03770",83,"fliE"
"N900_RS04265",83,"SulP family inorganic anion transporter_1"
"N900_RS04850",83,"methyltransferase"
"N900_RS04860",83,"lrp_1"
"N900_RS05025",83,"pflA"
"N900_RS05260",83,"manP_2"
"N900_RS07925",83,"ycbB"
"N900_RS08225",83,"hutI"
"N900_RS10315",83,"dhbE"
"N900_RS12535",83,"mshP"
"N900_RS12700",83,"assimilatory sulfite reductase (NADPH) flavoprotein subunit"
"N900_RS13130",83,"fre"
"N900_RS13430",83,"wzm"
"N900_RS16075",83,"N-acetyltransferase_5"
"N900_RS18470",83,"rhaS_4"
"N900_RS18605",83,"N900_RS18605"
"N900_RS00905",82,"gspF"
"N900_RS01465",82,"VC_2612_BLAST"
"N900_RS02420",82,"ampD"
"N900_RS03100",82,"crl"
"N900_RS03585",82,"prmC"
"N900_RS05800",82,"ycii"
"N900_RS08310",82,"N900_RS08310"
"N900_RS09410",82,"ybeY"
"N900_RS09955",82,"intA_3"
"N900_RS12115",82,"N900_RS12115"
"N900_RS13970",82,"atpD"
"N900_RS16395",82,"Solitary outer membrane autotransporter beta-barrel domain"
"N900_RS17560",82,"rnb"
"N900_RS17670",82,"LysR family transcriptional regulator_7"
