"Gene","Time","Space","logFC","timeNumber","Time_idx","Space_idx"
"N900_RS00015","1h","st",2.4081,1,1,1
"N900_RS00025","1h","st",-0.17281,1,1,1
"N900_RS00040","1h","st",-0.4205,1,1,1
"N900_RS00045","1h","st",0.58037,1,1,1
"N900_RS00050","1h","st",-0.43105,1,1,1
"N900_RS00065","1h","st",-0.090996,1,1,1
"N900_RS00075","1h","st",2.4518,1,1,1
"N900_RS00085","1h","st",-0.70254,1,1,1
"N900_RS00090","1h","st",0.03003,1,1,1
"N900_RS00105","1h","st",2.2163,1,1,1
"N900_RS00110","1h","st",-0.91276,1,1,1
"N900_RS00120","1h","st",-0.7706,1,1,1
"N900_RS00125","1h","st",1.8534,1,1,1
"N900_RS00130","1h","st",2.3801,1,1,1
"N900_RS00135","1h","st",-0.081465,1,1,1
"N900_RS00140","1h","st",1.2429,1,1,1
"N900_RS00145","1h","st",6.8711,1,1,1
"N900_RS00150","1h","st",0.35635,1,1,1
"N900_RS00155","1h","st",-0.29048,1,1,1
"N900_RS00160","1h","st",-0.27727,1,1,1
"N900_RS00165","1h","st",-0.44224,1,1,1
"N900_RS00170","1h","st",-0.2317,1,1,1
"N900_RS00175","1h","st",0.74103,1,1,1
"N900_RS00180","1h","st",-0.0012074,1,1,1
"N900_RS00185","1h","st",1.2532,1,1,1
"N900_RS00190","1h","st",-0.054306,1,1,1
"N900_RS00195","1h","st",3.3165,1,1,1
"N900_RS00200","1h","st",0.16449,1,1,1
"N900_RS00205","1h","st",0.14403,1,1,1
"N900_RS00215","1h","st",0.047907,1,1,1
"N900_RS00225","1h","st",0.14213,1,1,1
"N900_RS00230","1h","st",0.038517,1,1,1
"N900_RS00235","1h","st",1.5253,1,1,1
"N900_RS00240","1h","st",3.7507,1,1,1
"N900_RS00245","1h","st",0.50674,1,1,1
"N900_RS00250","1h","st",-0.97121,1,1,1
"N900_RS00255","1h","st",3.2053,1,1,1
"N900_RS00260","1h","st",-0.30214,1,1,1
"N900_RS00265","1h","st",0.046581,1,1,1
"N900_RS00270","1h","st",-0.765,1,1,1
"N900_RS00275","1h","st",2.6901,1,1,1
"N900_RS00280","1h","st",0.066355,1,1,1
"N900_RS00320","1h","st",3.7841,1,1,1
"N900_RS00325","1h","st",3.6871,1,1,1
"N900_RS00330","1h","st",-0.61114,1,1,1
"N900_RS00335","1h","st",-0.61871,1,1,1
"N900_RS00340","1h","st",3.2354,1,1,1
"N900_RS00345","1h","st",0.23135,1,1,1
"N900_RS00350","1h","st",0.13886,1,1,1
"N900_RS00355","1h","st",0.8604,1,1,1
"N900_RS00360","1h","st",4.6525,1,1,1
"N900_RS00365","1h","st",0.38053,1,1,1
"N900_RS00370","1h","st",0.33524,1,1,1
"N900_RS00375","1h","st",-0.2443,1,1,1
"N900_RS00380","1h","st",2.3514,1,1,1
"N900_RS00385","1h","st",0.73987,1,1,1
"N900_RS00390","1h","st",-0.84315,1,1,1
"N900_RS00395","1h","st",1.206,1,1,1
"N900_RS00400","1h","st",0.64952,1,1,1
"N900_RS00410","1h","st",-0.53908,1,1,1
"N900_RS00415","1h","st",1.7231,1,1,1
"N900_RS00420","1h","st",2.7054,1,1,1
"N900_RS00425","1h","st",0.25096,1,1,1
"N900_RS00430","1h","st",-0.30907,1,1,1
"N900_RS00440","1h","st",0.70419,1,1,1
"N900_RS00450","1h","st",1.7173,1,1,1
"N900_RS00455","1h","st",0.46911,1,1,1
"N900_RS00460","1h","st",1.3199,1,1,1
"N900_RS00465","1h","st",-0.39089,1,1,1
"N900_RS00470","1h","st",-0.43638,1,1,1
"N900_RS00475","1h","st",4.5469,1,1,1
"N900_RS00480","1h","st",1.5481,1,1,1
"N900_RS00485","1h","st",0.91427,1,1,1
"N900_RS00490","1h","st",3.5487,1,1,1
"N900_RS00495","1h","st",0.67383,1,1,1
